feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
Gene_0002,21618.63328159376,3.14972535769197,0.07175731477188894,43.894136335852416,0,2.2250738585072014e-308,Up in case
Gene_0005,80368.12237198083,3.0221408427275307,0.04500719551555057,67.14794841378956,0,2.2250738585072014e-308,Up in case
Gene_0006,54416.11903413588,2.951789906494341,0.051176594417618716,57.67851378320945,0,2.2250738585072014e-308,Up in case
Gene_0007,99162.26245228932,2.924144370274557,0.04347535344590452,67.25981823041437,0,2.2250738585072014e-308,Up in case
Gene_0008,81464.91023159573,3.0875693844923973,0.051010435699840206,60.52819079336092,0,2.2250738585072014e-308,Up in case
Gene_0009,54164.84367563338,2.9820313606290623,0.051940127217257395,57.412862085525774,0,2.2250738585072014e-308,Up in case
Gene_0010,41766.76086304654,3.090322592673081,0.059251413270985334,52.15609927377669,0,2.2250738585072014e-308,Up in case
Gene_0012,60359.182414654846,3.017160207725797,0.04969392600278768,60.714869007462674,0,2.2250738585072014e-308,Up in case
Gene_0013,28513.043153415903,3.1050628093100214,0.06355081306099455,48.859529245201884,0,2.2250738585072014e-308,Up in case
Gene_0014,29606.782044972093,3.023284999680125,0.07357392776553283,41.09179829728274,0,2.2250738585072014e-308,Up in case
Gene_0015,59361.099290758095,3.180550581893146,0.05068627685114875,62.74973778866266,0,2.2250738585072014e-308,Up in case
Gene_0017,24241.223871339564,2.8841792192825135,0.06745554895925708,42.756737789274354,0,2.2250738585072014e-308,Up in case
Gene_0018,30286.358183521923,3.1799031008711096,0.06921547657632832,45.94208200480174,0,2.2250738585072014e-308,Up in case
Gene_0019,29148.267207081375,3.0194595306850185,0.06979242822661694,43.26342566676135,0,2.2250738585072014e-308,Up in case
Gene_0022,53616.58158437614,3.0387734708080147,0.05077689039422645,59.84559998092235,0,2.2250738585072014e-308,Up in case
Gene_0024,22597.63658300935,3.26604779081809,0.08532188284140892,38.27913405156353,1.3636e-320,2.2250738585072014e-308,Up in case
Gene_0025,53662.890888856404,3.1159201481711296,0.053863725828763157,57.84821046499595,0,2.2250738585072014e-308,Up in case
Gene_0026,76976.18547795745,3.122863566737028,0.045426043167369354,68.74610573566879,0,2.2250738585072014e-308,Up in case
Gene_0028,34512.80046370273,3.0572560516342198,0.07145223114910818,42.787411987937325,0,2.2250738585072014e-308,Up in case
Gene_0030,81785.46314489095,3.132383736010524,0.049367396043736425,63.450454896090285,0,2.2250738585072014e-308,Up in case
Gene_0031,30904.873633690393,3.0491745311204226,0.07126367777219232,42.78721820767768,0,2.2250738585072014e-308,Up in case
Gene_0032,26278.298026419474,3.117222451910544,0.06370996552169526,48.928333681942284,0,2.2250738585072014e-308,Up in case
Gene_0035,25423.933558949833,3.2259775574070306,0.08161237377807229,39.52804468326579,0,2.2250738585072014e-308,Up in case
Gene_0036,19404.613855738273,3.0589979066937865,0.07388154504540864,41.40408683675582,0,2.2250738585072014e-308,Up in case
Gene_0037,28400.99483969938,3.0003868301888446,0.06478503447820565,46.31296184920926,0,2.2250738585072014e-308,Up in case
Gene_0038,26611.22311695136,3.06155471594334,0.07147460739935128,42.83415925375376,0,2.2250738585072014e-308,Up in case
Gene_0040,38634.5547253881,3.002667556531192,0.06266561526697043,47.91571173025453,0,2.2250738585072014e-308,Up in case
Gene_0042,49479.77827756523,3.078637663140545,0.057846198675575444,53.22108856982588,0,2.2250738585072014e-308,Up in case
Gene_0043,25365.321025464364,2.9265523622171323,0.061908401398235044,47.27229739614252,0,2.2250738585072014e-308,Up in case
Gene_0044,29177.157759925416,2.999842329253465,0.06291644821995297,47.679778724414895,0,2.2250738585072014e-308,Up in case
Gene_0045,66995.6743023213,3.191071255106747,0.051437490862515284,62.03784830088238,0,2.2250738585072014e-308,Up in case
Gene_0046,83829.79647702049,3.188623192046199,0.04945617204164239,64.473716028029,0,2.2250738585072014e-308,Up in case
Gene_0048,31015.23739549784,3.1753115212794327,0.06296929447438826,50.42634744098871,0,2.2250738585072014e-308,Up in case
Gene_0051,37866.04823162117,3.118981121563889,0.06980152607093437,44.683566350602256,0,2.2250738585072014e-308,Up in case
Gene_0052,29851.25830114907,3.1095547514044357,0.07662480907024898,40.58156606372255,0,2.2250738585072014e-308,Up in case
Gene_0054,25492.438163170347,3.0079083266954454,0.0769831187715222,39.07231058828106,0,2.2250738585072014e-308,Up in case
Gene_0055,72267.89717153617,3.0550573504967784,0.041904297505928625,72.90558563986303,0,2.2250738585072014e-308,Up in case
Gene_0059,27898.642154380064,2.9769131407318086,0.07178389530465622,41.47048760864212,0,2.2250738585072014e-308,Up in case
Gene_0060,27676.50256280816,3.1577600016778424,0.07361065030211732,42.89814026526829,0,2.2250738585072014e-308,Up in case
Gene_0061,26440.00699785616,3.1378596062138198,0.07006496533963476,44.78500190506448,0,2.2250738585072014e-308,Up in case
Gene_0062,103637.03644312042,3.1136780128396686,0.043190847926199455,72.09115269420121,0,2.2250738585072014e-308,Up in case
Gene_0063,109439.00883565622,3.059603269193281,0.04142666727302276,73.85588729667639,0,2.2250738585072014e-308,Up in case
